beach,lat,lon
453,38.17656944,14.89131667
454,38.17658611,12.74005833
455,38.17679444,12.73927222
456,38.17686111,14.88852778
457,38.17745278,12.74589722
458,38.17768333,14.89596389
459,38.17834722,12.73538611
460,38.17860833,12.73823611
461,38.17894722,12.73812778
462,38.17901111,12.74005278
463,38.17983333,12.73935278
464,38.17984722,12.74038056
465,38.18044722,15.56176667
466,38.18103333,12.73671389
467,38.18111389,13.22566389
468,38.181575,14.88145556
469,38.18190833,12.740325
470,38.18249722,15.56825556
471,38.18255556,15.63098333
472,38.182825,14.94101944
473,38.18473611,15.56312222
474,38.18610556,14.87625
475,38.18851667,16.23431944
476,38.1893,16.22912778
477,38.19233333,15.55552222
478,38.1979,12.74798889
479,38.200225,8.184275
480,38.20023056,15.2078
481,38.20070278,13.26043056
482,38.20113056,13.25786667
483,38.20145278,15.57196111
484,38.20146667,15.59066111
485,38.20147778,13.26155556
486,38.20158056,15.20239167
487,38.20159444,13.25226389
488,38.20241667,14.91641944
489,38.20290556,13.27419167
490,38.20330556,13.32678611
491,38.20356111,15.56723889
492,38.20526111,13.33504444
493,38.20544444,13.25109444
494,38.20556111,14.83052778
495,38.20626667,13.35410556
496,38.20762778,13.25688611
497,38.20941389,15.282225
498,38.21084167,15.56602778
499,38.21159167,13.33334167
500,38.21171944,15.63087778
501,38.21216667,13.27218611
502,38.212625,8.342888889
503,38.21304167,15.31374444
504,38.21326944,15.56467222
505,38.21386667,15.56295556
506,38.21438889,15.56343611
507,38.21569444,15.63073333
508,38.21653889,15.62852222
509,38.21683889,15.63195
510,38.2193,15.24047778
511,38.220225,15.25864722
512,38.22131111,15.36421389
513,38.22134167,13.33446389
514,38.22163056,12.73826667
515,38.22218333,15.56834722
516,38.22231944,10.36065833
517,38.22245,15.24376389
518,38.22293889,15.27101944
519,38.22293889,15.36750278
520,38.22430556,15.23278056
521,38.22470278,15.37022778
522,38.22558333,16.27201667
523,38.22586111,15.38062778
524,38.22821667,15.23526111
525,38.23013889,15.23582222
526,38.23026389,15.23054167
527,38.23186389,15.23683889
528,38.23585556,15.65307778
529,38.23628056,15.65176944
530,38.23675,9.457275
531,38.23697778,15.36496667
532,38.23740556,13.26210278
533,38.23848611,15.36506944
534,38.23940833,15.36450833
535,38.24091389,15.23741944
536,38.24164444,15.24205833
537,38.24292222,15.23958333
538,38.24398889,15.43205556
539,38.25361389,13.89906667
540,38.25465,15.70995278
541,38.25478056,16.30098611
542,38.25480833,15.72399444
543,38.25508333,15.72493333
544,38.25691667,15.7249
545,38.25738611,15.71076111
546,38.25799444,15.73221667
547,38.25831111,15.72541667
548,38.2592,15.643325
549,38.26120833,15.72029722
550,38.26350833,15.64034444
551,38.26403611,15.70929722
552,38.26415278,15.64364722
553,38.26420278,9.697247222
554,38.26458333,15.64515833
555,38.26666667,15.65
556,38.26778056,15.371925
557,38.26871667,13.2278
558,38.27716111,15.468075
559,38.28519444,15.79855556
560,38.28647778,15.79948056
561,38.28733889,13.90779722
562,38.28736389,15.79676944
563,38.28848889,15.80818333
564,38.29313889,15.79636944
565,38.29434167,15.80473056
566,38.29596944,16.33030278
567,38.29779722,16.33238333
568,38.29978611,16.33427222
569,38.30011111,16.33523056
570,38.30240556,15.80367222
571,38.30638333,15.77050833
572,38.31001111,15.55502778
573,38.320025,16.40561944
574,38.32042222,16.40671667
575,38.32832222,16.42044167
576,38.32942778,16.44550556
577,38.33916667,16.46556944
578,38.34333889,15.82035556
579,38.35025278,15.83520278
580,38.35250556,15.83499722
581,38.35345833,15.82381389
582,38.36486111,9.209433333
583,38.36514167,15.83962222
584,38.36553611,15.83948056
585,38.37976944,14.96215
586,38.38226389,15.06594444
587,38.38522778,15.85825833
588,38.38615556,15.85893611
589,38.38720556,16.53098333
590,38.3922,15.85381944
591,38.41401667,14.96125556
592,38.41668889,14.96271667
593,38.41682222,14.96169722
594,38.41862222,14.94779167
595,38.41869444,14.94642222
596,38.43423333,15.88272222
597,38.43473611,14.95680278
598,38.43973056,16.59425556
599,38.43993611,14.93961389
600,38.44013056,14.95160278
601,38.44328056,15.89864167
602,38.44416111,16.58001944
603,38.45106111,14.92453889
604,38.46015833,14.95722222
605,38.46033333,14.95933889
606,38.46128889,14.91522778
607,38.46213611,14.95705833
608,38.46221111,14.96356667
609,38.46485278,14.96301389
610,38.46752778,14.95838611
611,38.46884444,10.30675
612,38.47040556,14.96131389
613,38.47057222,14.97003056
614,38.471425,14.95562222
615,38.47156389,14.96258611
616,38.47359444,14.95716111
617,38.47503333,14.95645278
618,38.47618889,14.95799167
619,38.47645,14.96017222
620,38.47703889,14.95982222
621,38.47723611,14.96381389
622,38.48496944,15.89061111
623,38.48949444,14.96498611
624,38.49036389,14.96711667
625,38.49206111,14.96655278
626,38.49489167,14.96399167
627,38.49511944,14.96263056
628,38.498975,14.9664
629,38.49910556,14.970775
630,38.50040556,14.9658
631,38.50576389,16.58300833
632,38.51268889,14.96456667
633,38.51787778,15.92373056
634,38.51813889,14.96768889
635,38.520775,14.94562222
636,38.52092778,14.94184444
