beach,lon,lat
157,15.08747379,44.34881111
158,15.08747838,44.18245
159,15.08747837,44.18245
160,15.08746507,43.78494722
161,15.08747392,44.31586111
162,15.08746119,40.13928889
163,15.08746788,44.18193889
164,15.08746789,44.18193889
165,14.992165,40.208372
166,15.08747192,44.18951111
167,15.08747821,40.94515833
168,15.0874781,42.13720833
169,15.08747839,40.95887778
170,8.457164,40.055867
171,15.08747695,44.26776111
172,15.08746452,43.107225
173,15.08747401,44.31266667
174,15.08747326,44.35226667
175,15.08747196,44.39150556
176,12.32912222,44.43790278
177,15.08748031,43.00364722
178,15.08747739,42.94093056
179,15.0874647,43.69103056
180,15.08747541,42.70055
181,15.08746945,44.29532222
182,15.08746576,43.88316944
183,15.08746577,43.88316944
184,15.0874648,43.68416944
185,15.08747445,44.33670556
186,15.08747626,44.27902778
187,15.08746801,44.20531111
188,15.08746932,44.24573333
189,15.08746534,43.81758889
190,15.08747827,44.18133333
191,8.214635,44.028373
192,15.08747526,44.31529167
193,15.08746884,40.1927
194,15.08746802,44.20531111
195,15.08746946,44.29532222
196,15.08746867,44.22732778
197,15.08747446,44.33670556
198,15.08746803,44.20531111
199,15.08747197,44.39150556
200,15.08747627,44.27902778
201,15.08747628,44.27902778
202,15.08746502,43.78617778
203,15.08746947,44.29532222
204,15.091133,43.984533
205,15.08746569,43.85166667
206,15.08746948,44.29532222
207,15.08747447,44.33670556
208,15.08746673,40.94072222
209,15.0874668,40.94072222
210,15.08746804,44.20531111
211,15.08746933,44.24573333
212,15.08746456,43.418375
213,15.08746871,44.22732778
214,15.08746578,43.88316944
215,15.08748032,44.04416111
216,15.08746459,43.54579444
217,15.08746872,44.22732778
218,15.08746681,40.94072222
219,15.08747771,42.82633611
220,15.08746805,44.20531111
221,15.08746538,43.81758889
222,15.08746873,44.22732778
223,15.08746539,43.81758889
224,15.08746682,40.94072222
225,15.08746949,44.29532222
226,15.08746471,43.69103056
227,15.08747068,44.35849167
228,15.08747629,44.27902778
229,15.08746579,43.88316944
230,15.08747828,44.18133333
231,15.08747527,44.31529167
232,15.08747829,44.18133333
233,15.08747172,41.00920833
234,15.0874658,43.88316944
235,15.08746581,43.88316944
236,15.0874654,43.81758889
237,15.08746582,43.88316944
238,7.783244444,43.829875
239,15.08747173,41.00920833
240,15.08748033,44.04416111
241,15.08746542,43.81758889
242,15.08746571,43.85166667
243,15.08746472,43.69103056
244,15.08746541,43.81758889
245,15.08746563,43.82358333
